Positive,Negative,Game_name,Positive_Rate,Link
2830,664,Pillars of Eternity II Deadfire,0.81,https://store.steampowered.com/app/560130/Pillars_of_Eternity_II_Deadfire/
102266,2088,Portal 2,0.98,https://store.steampowered.com/app/620/Portal_2/
16195,1220,Oxygen Not Included,0.93,https://store.steampowered.com/app/457140/Oxygen_Not_Included/
9128,3913,Jurassic World Evolution,0.7,https://store.steampowered.com/app/648350/Jurassic_World_Evolution/
12035,1488,BeamNGdrive,0.89,https://store.steampowered.com/app/284160/BeamNGdrive/
5152,1627,DCS World Steam Edition,0.76,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/
28,0,Blaster Master Zero,1.0,https://store.steampowered.com/app/1034900/Blaster_Master_Zero/
2936,439,Forager,0.87,https://store.steampowered.com/app/751780/Forager/
667,43,The Jackbox Party Pack 3,0.94,https://store.steampowered.com/app/434170/The_Jackbox_Party_Pack_3/
2562,2183,Albion Online,0.54,https://store.steampowered.com/app/761890/Albion_Online/
18738,2801,DARK SOULS II,0.87,https://store.steampowered.com/app/236430/DARK_SOULS_II/
16726,5283,Total War ROME II  Emperor Edition,0.76,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/
8654,2734,Car Mechanic Simulator 2018,0.76,https://store.steampowered.com/app/645630/Car_Mechanic_Simulator_2018/
26700,5862,NieRAutomata,0.82,https://store.steampowered.com/app/524220/NieRAutomata/
3057,378,Pavlov VR,0.89,https://store.steampowered.com/app/555160/Pavlov_VR/
150614,6276,Left 4 Dead 2,0.96,https://store.steampowered.com/app/550/Left_4_Dead_2/
8244,2749,YuGiOh Duel Links,0.75,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/
3907,121,Katana ZERO,0.97,https://store.steampowered.com/app/460950/Katana_ZERO/
36397,6424,Darkest Dungeon,0.85,https://store.steampowered.com/app/262060/Darkest_Dungeon/
5434,410,Vampire The Masquerade  Bloodlines,0.93,https://store.steampowered.com/app/2600/Vampire_The_Masquerade__Bloodlines/
7025,2099,Wreckfest,0.77,https://store.steampowered.com/app/228380/Wreckfest/
1848,252,SUPERHOT VR,0.88,https://store.steampowered.com/app/617830/SUPERHOT_VR/
933,1096,Conquerors Blade,0.46,https://store.steampowered.com/app/905370/Conquerors_Blade/
8999,1228,Kenshi,0.88,https://store.steampowered.com/app/233860/Kenshi/
13767,725,RESIDENT EVIL 2  BIOHAZARD RE2,0.95,https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2/
3747,610,HITMAN 2,0.86,https://store.steampowered.com/app/863550/HITMAN_2/
18629,2070,Minion Masters,0.9,https://store.steampowered.com/app/489520/Minion_Masters/
12643,6514,Crossout,0.66,https://store.steampowered.com/app/386180/Crossout/
10350,2428,The Sims 3,0.81,https://store.steampowered.com/app/47890/The_Sims_3/
82598,5273,Subnautica,0.94,https://store.steampowered.com/app/264710/Subnautica/
60694,2529,Wallpaper Engine,0.96,https://store.steampowered.com/app/431960/Wallpaper_Engine/
22010,2446,Grim Dawn,0.9,https://store.steampowered.com/app/219990/Grim_Dawn/
4150,513,Subnautica Below Zero,0.89,https://store.steampowered.com/app/848450/Subnautica_Below_Zero/
42423,12673,7 Days to Die,0.77,https://store.steampowered.com/app/251570/7_Days_to_Die/
2004,471,XPlane 11,0.81,https://store.steampowered.com/app/269950/XPlane_11/
49453,2603,Fallout New Vegas,0.95,https://store.steampowered.com/app/22380/Fallout_New_Vegas/
3084,1260,Surviving Mars,0.71,https://store.steampowered.com/app/464920/Surviving_Mars/
18355,2503,Wolfenstein The New Order,0.88,https://store.steampowered.com/app/201810/Wolfenstein_The_New_Order/
2424,2066,RAGE 2,0.54,https://store.steampowered.com/app/548570/RAGE_2/
2374,152,A Plague Tale Innocence,0.94,https://store.steampowered.com/app/752590/A_Plague_Tale_Innocence/
19512,16622,FOR HONOR,0.54,https://store.steampowered.com/app/304390/FOR_HONOR/
33759,1777,Cuphead,0.95,https://store.steampowered.com/app/268910/Cuphead/
29064,6380,Europa Universalis IV,0.82,https://store.steampowered.com/app/236850/Europa_Universalis_IV/
2460,244,DRAGON QUEST XI Echoes of an Elusive Age  Digital Edition of Light,0.91,https://store.steampowered.com/app/742120/DRAGON_QUEST_XI_Echoes_of_an_Elusive_Age__Digital_Edition_of_Light/
2067,550,Deathgarden BLOODHARVEST,0.79,https://store.steampowered.com/app/555440/Deathgarden_BLOODHARVEST/
1223,51,Supraland,0.96,https://store.steampowered.com/app/813630/Supraland/
51441,5716,Starbound,0.9,https://store.steampowered.com/app/211820/Starbound/
2126,5751,NBA 2K19,0.27,https://store.steampowered.com/app/841370/NBA_2K19/
3017,2371,KurtzPel,0.56,https://store.steampowered.com/app/844870/KurtzPel/
11567,358,A Hat in Time,0.97,https://store.steampowered.com/app/253230/A_Hat_in_Time/
24165,1007,Slay the Spire,0.96,https://store.steampowered.com/app/646570/Slay_the_Spire/
180665,34413,PAYDAY 2,0.84,https://store.steampowered.com/app/218620/PAYDAY_2/
22207,1169,Papers Please,0.95,https://store.steampowered.com/app/239030/Papers_Please/
11972,3991,Insurgency Sandstorm,0.75,https://store.steampowered.com/app/581320/Insurgency_Sandstorm/
